Time,Ask,Bid,AskVolume,BidVolume
22.04.2013 10:33:28.909,1.02761,1.02748,3.75,2.03
22.04.2013 10:33:30.427,1.02759,1.02747,3.00,2.03
22.04.2013 10:33:30.726,1.02758,1.02746,1.65,1.50
22.04.2013 10:33:37.287,1.02757,1.02744,2.40,3.00
22.04.2013 10:33:37.828,1.02755,1.02744,1.50,1.50
22.04.2013 10:33:38.066,1.02753,1.02742,1.65,1.50
22.04.2013 10:33:39.216,1.02753,1.02743,1.65,1.50
22.04.2013 10:33:39.486,1.02755,1.02743,1.88,1.50
22.04.2013 10:33:39.606,1.02757,1.02743,1.13,1.50
22.04.2013 10:33:39.787,1.02757,1.02743,1.13,2.25
22.04.2013 10:33:40.666,1.02757,1.02743,1.88,3.00
22.04.2013 10:33:41.556,1.02757,1.02744,1.50,1.50
22.04.2013 10:33:42.200,1.02757,1.02744,1.50,1.50
22.04.2013 10:33:42.825,1.02757,1.02744,1.50,1.50
22.04.2013 10:33:43.936,1.02758,1.02744,2.78,1.50
22.04.2013 10:33:50.166,1.02755,1.02742,2.63,5.25
22.04.2013 10:33:50.736,1.02753,1.02742,1.65,2.25
22.04.2013 10:33:51.037,1.02753,1.02742,1.65,2.25
22.04.2013 10:33:54.305,1.02753,1.02741,2.03,1.50
22.04.2013 10:33:54.985,1.02753,1.02741,2.78,2.25
22.04.2013 10:33:56.815,1.02752,1.02741,1.50,1.50
22.04.2013 10:33:56.880,1.02741,1.02729,1.50,3.00
22.04.2013 10:33:57.126,1.02740,1.02728,2.63,1.50
22.04.2013 10:33:57.427,1.02739,1.02729,1.50,1.50
22.04.2013 10:33:57.915,1.02739,1.02725,1.65,2.82
22.04.2013 10:33:58.426,1.02739,1.02725,3.15,1.13
22.04.2013 10:33:59.297,1.02737,1.02725,1.50,1.50
22.04.2013 10:34:08.146,1.02738,1.02724,2.25,1.88
22.04.2013 10:34:08.696,1.02737,1.02724,1.50,3.38
22.04.2013 10:34:09.709,1.02737,1.02724,1.50,1.13
22.04.2013 10:34:10.016,1.02738,1.02724,1.65,2.63
22.04.2013 10:34:10.257,1.02737,1.02724,1.50,2.63
22.04.2013 10:34:11.506,1.02736,1.02724,1.50,1.13
22.04.2013 10:34:11.806,1.02735,1.02721,2.63,1.50
22.04.2013 10:34:11.985,1.02735,1.02722,1.50,3.15
22.04.2013 10:34:12.545,1.02734,1.02722,1.50,4.65
22.04.2013 10:34:12.966,1.02734,1.02721,3.15,2.25
22.04.2013 10:34:13.505,1.02734,1.02721,2.63,1.50
22.04.2013 10:34:14.045,1.02733,1.02721,1.65,1.50
22.04.2013 10:34:14.568,1.02733,1.02721,1.65,1.50
22.04.2013 10:34:14.805,1.02733,1.02719,1.65,4.50
22.04.2013 10:34:15.607,1.02733,1.02719,1.65,6.00
22.04.2013 10:34:17.065,1.02732,1.02719,1.50,3.75
22.04.2013 10:34:17.605,1.02731,1.02719,1.50,1.50
22.04.2013 10:34:18.166,1.02730,1.02719,1.50,1.50
22.04.2013 10:34:19.090,1.02730,1.02719,1.50,1.50
22.04.2013 10:34:19.696,1.02730,1.02719,2.25,1.50
22.04.2013 10:34:21.696,1.02729,1.02719,3.00,1.50
22.04.2013 10:34:22.721,1.02728,1.02719,2.25,1.50
22.04.2013 10:34:23.207,1.02727,1.02719,1.65,1.50
22.04.2013 10:34:23.625,1.02727,1.02713,3.15,2.78
22.04.2013 10:34:23.687,1.02725,1.02713,1.88,1.50
22.04.2013 10:34:23.806,1.02722,1.02711,1.50,1.13
22.04.2013 10:34:24.106,1.02722,1.02709,1.50,1.50
22.04.2013 10:34:24.406,1.02720,1.02709,1.50,1.50
22.04.2013 10:34:25.136,1.02720,1.02709,1.50,1.50
22.04.2013 10:34:25.916,1.02720,1.02709,3.79,1.50
